Edited fields,Suggested fields,Ticket type,Last Editor Resolution,Other markings made along with procedural marking?,All customer-suggested fields edited?
Geocode,Geocode,POI Change Details (High Priority),Completion Reason POI - POI Changed,,Yes
Hours,Hours | Comment,POI Change Details (Unspecified),Completion Reason POI - POI Changed,,Yes
New POI | Name | URL | Geocode | Phone | Hours | Modern Category,Name,POI Change Details (Unspecified),Completion Reason POI - POI Added,,Yes
Name,Name,POI Change Details (Unspecified),Completion Reason POI - POI Changed,,Yes
Geocode,Geocode,POI Change Details (Unspecified),Completion Reason POI - POI Changed,,Yes
Modern Category,Modern Category | Comment,POI Review (Moderncategory Cleanup),Completion Reason POI - POI Changed,Missing Or Incorrect Top Category,Yes
Name | Address,Name | Address | Geocode,POI Change Details (Unspecified),Completion Reason POI - POI Changed,,No
Closures | Name | URL | Address | Geocode | Hours | Modern Category,Closures,POI Remove (Unspecified),Completion Reason POI - POI Changed,,Yes
